V1,V2
-113.13,26.96
-113.14,26.96
-113.15,26.96
-113.15,26.97
-113.16,26.97
-113.16,26.97
-113.17,26.97
-113.17,26.97
-113.18,26.97
-113.18,26.96
-113.18,26.96
-113.18,26.95
-113.18,26.95
-113.19,26.94
-113.19,26.94
-113.19,26.93
-113.19,26.92
-113.18,26.92
-113.18,26.91
-113.18,26.91
-113.18,26.90
-113.18,26.89
-113.18,26.89
-113.18,26.88
-113.19,26.87
-113.19,26.87
-113.19,26.87
-113.19,26.86
-113.20,26.86
-113.20,26.85
-113.20,26.85
-113.20,26.85
-113.20,26.85
-113.21,26.84
-113.21,26.84
-113.22,26.84
-113.22,26.84
-113.23,26.83
-113.23,26.83
-113.24,26.83
-113.24,26.82
-113.24,26.82
-113.24,26.81
-113.24,26.81
-113.23,26.82
-113.23,26.82
-113.22,26.82
-113.22,26.82
-113.21,26.83
-113.21,26.83
-113.20,26.82
-113.21,26.82
-113.21,26.81
-113.21,26.81
-113.22,26.81
-113.22,26.80
-113.23,26.80
-113.23,26.80
-113.24,26.80
-113.24,26.80
-113.25,26.79
-113.25,26.79
-113.25,26.78
-113.25,26.77
-113.25,26.77
-113.25,26.76
-113.25,26.75
-113.25,26.75
-113.25,26.74
-113.26,26.74
-113.26,26.74
-113.27,26.74
-113.27,26.75
-113.27,26.75
-113.27,26.75
-113.28,26.76
-113.28,26.76
